Program,ParentProject,Project,StationCode,StationName,LocationCode,CommonName,FinalID,TissueName,TissuePrep,MatrixDisplay,Analyte,ResultType,Result,Unit,SampleYear,Region,TargetLatitude,TargetLongitude,TLAvgLength_mm,DataQuality,DataQualityIndicator,N_in_Avg,ND_in_Avg,DisplayText
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,204TL0138,Upper San Leandro Reservoir,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,78.979091,%,2007,2,37.77606,-122.11748,388.91,Passed,,11,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2017,204TL0138,Upper San Leandro Reservoir,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,79.424545,%,2017,2,37.77606,-122.11748,328.91,Passed,,11,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,205ALMDNR,Almaden Reservoir,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,77.81,%,2019,2,37.16245,-121.83106,355.57,Passed,,14,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2019,205ALMDNR,Almaden Reservoir,NA,Redear Sunfish,Lepomis microlophus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,81.53,%,2019,2,37.16245,-121.83106,123.25,Passed,,4,0,
Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,RWB2 Lakes Sportfish Contamination Study 2004 2005,205COY500,Anderson Reservoir,NA,Channel Catfish,Ictalurus punctatus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,79.93,%,2004,2,37.16265,-121.61243,360.0,Some review needed,QACode:VH,1,0,
Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,RWB2 Lakes Sportfish Contamination Study 2004 2005,205COY500,Anderson Reservoir,NA,Channel Catfish,Ictalurus punctatus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,75.72,%,2005,2,37.16265,-121.61243,630.5,Some review needed,QACode:VH,2,0,
Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,RWB2 Lake Vasona Bioaccumulation Study 2011,205CPP002,Camden Percolation Pond across from Page Desilting Basin #2,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.285,%,2011,2,37.26474,-121.95236,451.88,Passed,,8,0,
Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,RWB2 Lake Vasona Bioaccumulation Study 2011,205CPP003,Camden Percolation Pond below Los Gatos Creek Park #3,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,77.62,%,2011,2,37.26696,-121.95138,344.44,Passed,,9,0,
Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,RWB2 Lakes Sportfish Contamination Study 2004 2005,205LSG150,Lexington Reservoir,NA,White Catfish,Ameiurus catus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,77.04,%,2005,2,37.17349,-121.9856,267.0,Some review needed,QACode:VH,1,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,205PAD016,Anderson Lake_BOG,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,78.451818,%,2007,2,37.16265,-121.61243,337.18,Passed,,11,0,
